old item,item,condition,label,adverbial,adverbial 2,name,verbbreak/verbhit,object,verb surprisal,GPT-2 Verb,GPT-2 surprisal,adv alt,adv2 alt,name_alt,verb_alt,object_alt,sentence,alternative
7,6,break,break.6,去年,秋天,李四,染了,头发,,染了,18.11448669,XX,沿岸,翅膀,番茄,适当,去年 秋天 李四 染了 头发,XX 沿岸 翅膀 番茄 适当
10,6,hit,hit.6,去年,秋天,李四,念了,大学,,念了,18.34802818,XX,沿岸,翅膀,番茄,适当,去年 秋天 李四 念了 大学,XX 沿岸 翅膀 番茄 适当
21,7,break,break.7,周末,下午,王五,煮了,鸡蛋,,煮了,18.26913643,XX,概括,奴役,痉挛,嘱咐,周末 下午 王五 煮了 鸡蛋,XX 概括 奴役 痉挛 嘱咐
15,7,hit,hit.7,周末,下午,王五,扫了,落叶,,扫了,18.3777256,XX,概括,奴役,痉挛,嘱咐,周末 下午 王五 扫了 落叶,XX 概括 奴役 痉挛 嘱咐
22,8,break,break.8,昨天,晚上,赵六,转了,车轮,,转了,18.44927025,XX,限制,枯竭,陕北,庸俗,昨天 晚上 赵六 转了 车轮,XX 限制 枯竭 陕北 庸俗
13,8,hit,hit.8,昨天,晚上,赵六,骂了,小孩,,骂了,18.8502636,XX,限制,枯竭,陕北,庸俗,昨天 晚上 赵六 骂了 小孩,XX 限制 枯竭 陕北 庸俗
12,9,break,break.9,前天,中午,老刘,洗了,盘子,,洗了,18.50452614,XX,膨胀,妨碍,癌症,谴责,前天 中午 老刘 洗了 盘子,XX 膨胀 妨碍 癌症 谴责
7,9,hit,hit.9,前天,中午,老刘,唱了,儿歌,,唱了,18.94108963,XX,膨胀,妨碍,癌症,谴责,前天 中午 老刘 唱了 儿歌,XX 膨胀 妨碍 癌症 谴责
9,10,break,break.10,星期一的,时候,老周,清了,房间,,清了,18.98143387,XX,必须,胜仗,唾沫,区域,星期一的 时候 老周 清了 房间,XX 必须 胜仗 唾沫 区域
21,10,hit,hit.10,星期一的,时候,老周,吹了,气球,,吹了,19.41063881,XX,必须,胜仗,唾沫,区域,星期一的 时候 老周 吹了 气球,XX 必须 胜仗 唾沫 区域
20,11,break,break.11,前天,早上,老金,解了,领带,,解了,19.30002213,XX,鸟类,恍惚,躯干,狭隘,前天 早上 老金 解了 领带,XX 鸟类 恍惚 躯干 狭隘
12,11,hit,hit.11,前天,早上,老金,编了,手环,,编了,19.54135513,XX,鸟类,恍惚,躯干,狭隘,前天 早上 老金 编了 手环,XX 鸟类 恍惚 躯干 狭隘
1,12,break,break.12,昨天,下午,老孔,关了,房门,,关了,19.38915253,XX,色彩,耦合,残忍,摹仿,昨天 下午 老孔 关了 房门,XX 色彩 耦合 残忍 摹仿
22,12,hit,hit.12,昨天,下午,老孔,敲了,房門,,敲了,19.70404625,XX,色彩,耦合,残忍,摹仿,昨天 下午 老孔 敲了 房門,XX 色彩 耦合 残忍 摹仿
4,13,break,break.13,星期五的,时候,曹叔叔,切了,白菜,,切了,19.85738564,XX,必须,哪怕是,蚯蚓,欣赏,星期五的 时候 曹叔叔 切了 白菜,XX 必须 哪怕是 蚯蚓 欣赏
26,13,hit,hit.13,星期五的,时候,曹叔叔,盖了,房子,,盖了,19.76304626,XX,必须,哪怕是,蚯蚓,欣赏,星期五的 时候 曹叔叔 盖了 房子,XX 必须 哪怕是 蚯蚓 欣赏
18,14,break,break.14,前年,冬天,罗阿姨,埋了,宝藏,,埋了,20.40133858,XX,均匀,奴隶制,蔗糖,矗立,前年 冬天 罗阿姨 埋了 宝藏,XX 均匀 奴隶制 蔗糖 矗立
19,14,hit,hit.14,前年,冬天,罗阿姨,擦了,窗户,,擦了,19.91379166,XX,均匀,奴隶制,蔗糖,矗立,前年 冬天 罗阿姨 擦了 窗户,XX 均匀 奴隶制 蔗糖 矗立
13,15,break,break.15,星期三,晚上,牛爷爷,热了,牛奶,,热了,20.81148148,XX,检查,占优势,猖獗,敏锐,星期三 晚上 牛爷爷 热了 牛奶,XX 检查 占优势 猖獗 敏锐
3,15,hit,hit.15,星期三,晚上,牛爷爷,刻了,印章,,刻了,19.99284172,XX,检查,占优势,猖獗,敏锐,星期三 晚上 牛爷爷 刻了 印章,XX 检查 占优势 猖獗 敏锐
23,16,break,break.16,十二月的,时候,冯奶奶,碎了,石头,,碎了,21.0213356,XX,研究,交响曲,钞票,警惕,十二月的 时候 冯奶奶 碎了 石头,XX 研究 交响曲 钞票 警惕
25,16,hit,hit.16,十二月的,时候,冯奶奶,爬了,楼梯,,爬了,20.32671356,XX,研究,交响曲,钞票,警惕,十二月的 时候 冯奶奶 爬了 楼梯,XX 研究 交响曲 钞票 警惕
15,17,break,break.17,前天,晚上,刘洋,烫了,头发,,烫了,21.02620697,XX,权利,踌躇,困境,秩序,前天 晚上 刘洋 烫了 头发,XX 权利 踌躇 困境 秩序
16,17,hit,hit.17,前天,晚上,刘洋,刮了,胡子,,刮了,20.95554161,XX,权利,踌躇,困境,秩序,前天 晚上 刘洋 刮了 胡子,XX 权利 踌躇 困境 秩序
11,18,break,break.18,十一月的,时候,郭姐,冻了,猪肉,,冻了,21.11376953,XX,而且,惋惜,诗词,咀嚼,十一月的 时候 郭姐 冻了 猪肉,XX 而且 惋惜 诗词 咀嚼
9,18,hit,hit.18,十一月的,时候,郭姐,砍了,木柴,,砍了,21.26523972,XX,而且,惋惜,诗词,咀嚼,十一月的 时候 郭姐 砍了 木柴,XX 而且 惋惜 诗词 咀嚼
2,19,break,break.19,星期六,晚上,张丽,烧了,木柴,,烧了,21.5362339,XX,限制,蒸馏,旗帜,峡谷,星期六 晚上 张丽 烧了 木柴,XX 限制 蒸馏 旗帜 峡谷
2,19,hit,hit.19,星期六,晚上,张丽,织了,毛衣,,织了,22.49707603,XX,限制,蒸馏,旗帜,峡谷,星期六 晚上 张丽 织了 毛衣,XX 限制 蒸馏 旗帜 峡谷
6,20,break,break.20,上个,星期四,吴哥,撕了,合约,,撕了,22.62858963,XX,硫酸铜,颠簸,膀胱,膨胀,上个 星期四 吴哥 撕了 合约,XX 硫酸铜 颠簸 膀胱 膨胀
4,20,hit,hit.20,上个,星期四,吴哥,划了,圆圈,,划了,23.19562531,XX,硫酸铜,颠簸,膀胱,膨胀,上个 星期四 吴哥 划了 圆圈,XX 硫酸铜 颠簸 膀胱 膨胀
16,21,break,break.21,星期天的,时候,李静,种了,玫瑰,,种了,24.2511158,XX,而且,萎缩,僧侣,各族,星期天的 时候 李静 种了 玫瑰,XX 而且 萎缩 僧侣 各族
20,21,hit,hit.21,星期天的,时候,李静,削了,苹果,,削了,24.40597916,XX,而且,萎缩,僧侣,各族,星期天的 时候 李静 削了 苹果,XX 而且 萎缩 僧侣 各族
17,22,break,break.22,昨天,凌晨,何舅舅,熄了,灯,,熄了,25.2466507,XX,捍卫,阶级性,贷款,氏,昨天 凌晨 何舅舅 熄了 灯,XX 捍卫 阶级性 贷款 氏
11,22,hit,hit.22,昨天,凌晨,何舅舅,哼了,歌,,哼了,24.76793098,XX,捍卫,阶级性,贷款,氏,昨天 凌晨 何舅舅 哼了 歌,XX 捍卫 阶级性 贷款 氏
8,23,break,break.23,上个,周末,王勇,折了,树枝,,折了,26.2694416,XX,靠拢,谓语,腼腆,乃至,上个 周末 王勇 折了 树枝,XX 靠拢 谓语 腼腆 乃至
18,23,hit,hit.23,上个,周末,王勇,捏了,陶土,,捏了,25.04464531,XX,靠拢,谓语,腼腆,乃至,上个 周末 王勇 捏了 陶土,XX 靠拢 谓语 腼腆 乃至
25,24,break,break.24,星期二,中午,张涛,冰了,啤酒,,冰了,27.00319862,XX,膨胀,哎哟,诙谐,强烈,星期二 中午 张涛 冰了 啤酒,XX 膨胀 哎哟 诙谐 强烈
8,24,hit,hit.24,星期二,中午,张涛,缝了,衣服,,缝了,25.41427422,XX,膨胀,哎哟,诙谐,强烈,星期二 中午 张涛 缝了 衣服,XX 膨胀 哎哟 诙谐 强烈
14,25,break,break.25,周末的,时候,陈英,烘了,衣服,,烘了,28.62954712,XX,必须,狼狈,傀儡,符合,周末的 时候 陈英 烘了 衣服,XX 必须 狼狈 傀儡 符合
23,25,hit,hit.25,周末的,时候,陈英,卤了,牛肉,,卤了,27.91994858,XX,必须,狼狈,傀儡,符合,周末的 时候 陈英 卤了 牛肉,XX 必须 狼狈 傀儡 符合
,100,filler,filler.100,小明,擦干了,眼泪,,,,,,XX,供销社,悄悄,,,小明 擦干了 眼泪,XX 供销社 悄悄
,101,filler,filler.101,小红,撕坏了,贴纸,,,,,,XX,畜牧业,徘徊,,,小红 撕坏了 贴纸,XX 畜牧业 徘徊
,102,filler,filler.102,小刚,吓跑了,兔子,,,,,,XX,硝酸钾,咨询,,,小刚 吓跑了 兔子,XX 硝酸钾 咨询
,103,filler,filler.103,小军,推倒了,桌子,,,,,,XX,诸葛亮,温暖,,,小军 推倒了 桌子,XX 诸葛亮 温暖
,104,filler,filler.104,张三,吹爆了,气球,,,,,,XX,卵细胞,疲乏,,,张三 吹爆了 气球,XX 卵细胞 疲乏
,105,filler,filler.105,李四,敲破了,车窗,,,,,,XX,病虫害,锻炼,,,李四 敲破了 车窗,XX 病虫害 锻炼
,106,filler,filler.106,王五,烤焦了,饼干,,,,,,XX,望远镜,止住,,,王五 烤焦了 饼干,XX 望远镜 止住
,107,filler,filler.107,赵六,学会了,法语,,,,,,XX,犯错误,忧愁,,,赵六 学会了 法语,XX 犯错误 忧愁
,108,filler,filler.108,老刘,吓哭了,婴儿,,,,,,XX,蒸馏水,必需,,,老刘 吓哭了 婴儿,XX 蒸馏水 必需
,109,filler,filler.109,老周,踢断了,大腿,,,,,,XX,硝酸钾,庸俗,,,老周 踢断了 大腿,XX 硝酸钾 庸俗
,110,filler,filler.110,老金,吃完了,拉面,,,,,,XX,荧光屏,湍流,,,老金 吃完了 拉面,XX 荧光屏 湍流
,111,filler,filler.111,老孔,摔断了,手臂,,,,,,XX,柬埔寨,剥夺,,,老孔 摔断了 手臂,XX 柬埔寨 剥夺
,112,filler,filler.112,曹叔叔,塞满了,冰箱,,,,,,XX,障碍物,潜伏,,,曹叔叔 塞满了 冰箱,XX 障碍物 潜伏
,113,filler,filler.113,何舅舅,剪坏了,头发,,,,,,XX,静悄悄,移动,,,何舅舅 剪坏了 头发,XX 静悄悄 移动
,114,filler,filler.114,牛爷爷,弄湿了,毛巾,,,,,,XX,奴隶主,撤销,,,牛爷爷 弄湿了 毛巾,XX 奴隶主 撤销
,115,filler,filler.115,冯奶奶,打碎了,花瓶,,,,,,XX,局限性,抵触,,,冯奶奶 打碎了 花瓶,XX 局限性 抵触
,116,filler,filler.116,罗阿姨,逃离了,房子,,,,,,XX,笑眯眯,渐渐,,,罗阿姨 逃离了 房子,XX 笑眯眯 渐渐
,117,filler,filler.117,郭姐,踢开了,铁门,,,,,,XX,愈来愈,疾病,,,郭姐 踢开了 铁门,XX 愈来愈 疾病
,118,filler,filler.118,吴哥,踢破了,足球,,,,,,XX,龙捲风,牲畜,,,吴哥 踢破了 足球,XX 龙捲风 牲畜
,119,filler,filler.119,张丽,击沉了,纸船,,,,,,XX,氨基酸,疟疾,,,张丽 击沉了 纸船,XX 氨基酸 疟疾
,120,filler,filler.120,李静,爬了,果树,摘,水果,,,,XX,俘虏,诉讼,腔,忽略,李静 爬了 果树 摘 水果,XX 俘虏 诉讼 腔 忽略
,121,filler,filler.121,刘洋,拿了,石头,丢,鸡蛋,,,,XX,蜿蜒,秩序,乙,煤炭,刘洋 拿了 石头 丢 鸡蛋,XX 蜿蜒 秩序 乙 煤炭
,122,filler,filler.122,王勇,买了,门票,进,戏院,,,,XX,腼腆,酸碱,亦,吱吱,王勇 买了 门票 进 戏院,XX 腼腆 酸碱 亦 吱吱
,123,filler,filler.123,张涛,去了,超商,拿,东西,,,,XX,衣襟,缠绕,句,历史,张涛 去了 超商 拿 东西,XX 衣襟 缠绕 句 历史
,124,filler,filler.124,王刚,喝了,咖啡,读,小说,,,,XX,糟粕,骨骼,户,压迫,王刚 喝了 咖啡 读 小说,XX 糟粕 骨骼 户 压迫
,125,filler,filler.125,老孔,用了,毛笔,写,书法,,,,XX,彭湃,误差,山,诧异,老孔 用了 毛笔 写 书法,XX 彭湃 误差 山 诧异
,126,filler,filler.126,陈英,听了,音乐,写,作业,,,,XX,鲫鱼,培养,件,急忙,陈英 听了 音乐 写 作业,XX 鲫鱼 培养 件 急忙
,127,filler,filler.127,杨秀兰,买了,饲料,餵,小猫,,,,XX,耶稣,觉悟,键,憧憬,杨秀兰 买了 饲料 餵 小猫,XX 耶稣 觉悟 键 憧憬
,128,filler,filler.128,马秀英,牵了,小狗,去,散步,,,,XX,煤炭,惩办,水,压抑,马秀英 牵了 小狗 去 散步,XX 煤炭 惩办 水 压抑
,129,filler,filler.129,小明,搬了,桌子,到,公司,,,,XX,锣鼓,否认,种,讨论,小明 搬了 桌子 到 公司,XX 锣鼓 否认 种 讨论
,130,filler,filler.130,小红,穿了,雨衣,骑,机车,,,,XX,钥匙,彭湃,芽,停滞,小红 穿了 雨衣 骑 机车,XX 钥匙 彭湃 芽 停滞
,131,filler,filler.131,小刚,拿了,盒子,装,午餐,,,,XX,踊跃,争吵,幅,声音,小刚 拿了 盒子 装 午餐,XX 踊跃 争吵 幅 声音
,132,filler,filler.132,小军,用了,刀子,切,土豆,,,,XX,氮气,督促,假,恍惚,小军 用了 刀子 切 土豆,XX 氮气 督促 假 恍惚
,133,filler,filler.133,张三,用了,茶壶,泡,绿茶,,,,XX,衬衫,遭受,瞪,敏锐,张三 用了 茶壶 泡 绿茶,XX 衬衫 遭受 瞪 敏锐
,134,filler,filler.134,李四,坐了,公车,去,学校,,,,XX,细菌,继续,种,矛盾,李四 坐了 公车 去 学校,XX 细菌 继续 种 矛盾
,135,filler,filler.135,王五,开了,电脑,玩,游戏,,,,XX,葫芦,闪烁,吨,脂肪,王五 开了 电脑 玩 游戏,XX 葫芦 闪烁 吨 脂肪
,136,filler,filler.136,赵六,用了,手机,拍,影片,,,,XX,诸侯,遵守,田,税收,赵六 用了 手机 拍 影片,XX 诸侯 遵守 田 税收
,137,filler,filler.137,老刘,搭了,飞机,去,美国,,,,XX,藤椅,充满,湖,能够,老刘 搭了 飞机 去 美国,XX 藤椅 充满 湖 能够
,138,filler,filler.138,老周,去了,医院,看,医生,,,,XX,哗哗,趋势,矮,积累,老周 去了 医院 看 医生,XX 哗哗 趋势 矮 积累
,139,filler,filler.139,老金,戴了,口罩,去,医院,,,,XX,蝙蝠,咆哮,它,趋势,老金 戴了 口罩 去 医院,XX 蝙蝠 咆哮 它 趋势
